entry_step,exit_step,entry_time,exit_time,side,entry_price,exit_price,sl_price,tp_price,lot_size,gross_profit,entry_commission,exit_commission,profit,net_profit,type,exit_reason,holding_period,balance_after_trade
67,67,2026-02-09 00:00:00,2026-02-09 00:00:00,long,4961.10047643575,5060.322485964465,4911.4894716713925,5060.322485964465,0.0021322342977575562,21.156457180955275,0.5,0.5,20.656457180955275,20.656457180955275,TP,TP,0,1077.9793162287215
68,68,2026-02-10 00:00:00,2026-02-10 00:00:00,long,5065.408747837903,5014.754660359525,5014.754660359525,5166.7169227946615,0.0021281191111948102,-10.779793162287133,0.5,0.5,-11.279793162287133,-11.279793162287133,SL,SL,0,1066.1995230664343
69,70,2026-02-11 00:00:00,2026-02-12 00:00:00,long,5023.538832810394,5078.958249550397,4973.30344448229,5124.009609466601,0.0021224072482584045,11.762257178323706,0.5,0.5,11.262257178323706,11.262257178323706,manual_close_buy,manual_close_buy,1,1076.961780244758
71,71,2026-02-13 00:00:00,2026-02-13 00:00:00,long,4920.333975248362,5018.740654753329,4871.130635495878,5018.740654753329,0.002188798129684676,21.53923560489523,0.5,0.5,21.03923560489523,21.03923560489523,TP,TP,0,1097.5010158496534
72,72,2026-02-16 00:00:00,2026-02-16 00:00:00,long,5040.819990820248,4990.411790912045,4990.411790912045,5141.636390636653,0.0021772271532177184,-10.97501015849659,0.5,0.5,-11.47501015849659,-11.47501015849659,SL,SL,0,1085.5260056911568
73,73,2026-02-17 00:00:00,2026-02-17 00:00:00,long,4992.530736226975,4942.605428864706,4942.605428864706,5092.381350951515,0.002174300095569418,-10.855260056911503,0.5,0.5,-11.355260056911503,-11.355260056911503,SL,SL,0,1073.6707456342453
74,74,2026-02-18 00:00:00,2026-02-18 00:00:00,long,4877.838692437751,4975.395466286506,4829.060305513373,4975.395466286506,0.0022011198264895206,21.473414912684955,0.5,0.5,20.973414912684955,20.973414912684955,TP,TP,0,1094.1441605469304
75,76,2026-02-19 00:00:00,2026-02-20 00:00:00,long,4979.566485085659,4999.260516537863,4929.770820234802,5079.157814787372,0.0021972679023846966,4.32730631784814,0.5,0.5,3.82730631784814,3.82730631784814,manual_close_buy,manual_close_buy,1,1097.4714668647784
77,77,2026-02-23 00:00:00,2026-02-23 00:00:00,long,5102.968072903102,5205.0274343611645,5051.938392174071,5205.0274343611645,0.002150653210417642,21.949429337295577,0.5,0.5,21.449429337295577,21.449429337295577,TP,TP,0,1118.4208962020741
78,78,2026-02-24 00:00:00,2026-02-24 00:00:00,long,5231.645891577555,5179.329432661779,5179.329432661779,5336.278809409106,0.0021377993071026156,-11.18420896202082,0.5,0.5,-11.68420896202082,-11.68420896202082,SL,SL,0,1106.2366872400532
79,80,2026-02-25 00:00:00,2026-02-26 00:00:00,long,5148.376874119596,5170.863979699812,5096.8931053784,5251.344411601988,0.0021487096113748014,4.831825989220992,0.5,0.5,4.331825989220992,4.331825989220992,manual_close_buy,manual_close_buy,1,1110.0685132292742
81,82,2026-02-27 00:00:00,2026-03-02 00:00:00,long,5187.671453007353,5301.666840296179,5135.79473847728,5291.4248820675,0.0021398203862462314,24.392965365866317,0.5,0.5,23.892965365866317,23.892965365866317,manual_close_buy,manual_close_buy,1,1133.4614785951405
83,83,2026-03-03 00:00:00,2026-03-03 00:00:00,long,5327.647109620615,5274.370638524409,5274.370638524409,5434.200051813027,0.0021275085516612884,-11.334614785951475,0.5,0.5,-11.834614785951475,-11.834614785951475,SL,SL,0,1121.126863809189
84,84,2026-03-04 00:00:00,2026-03-04 00:00:00,long,5088.066523610649,5189.827854082861,5037.1858583745425,5189.827854082861,0.0022034438005217017,22.42253727618371,0.5,0.5,21.92253727618371,21.92253727618371,TP,TP,0,1142.5494010853727
85,85,2026-03-05 00:00:00,2026-03-05 00:00:00,long,5136.086499885742,5084.725634886885,5084.725634886885,5238.808229883457,0.002224552489742511,-11.425494010853706,0.5,0.5,-11.925494010853706,-11.925494010853706,SL,SL,0,1130.123907074519
86,87,2026-03-06 00:00:00,2026-03-09 00:00:00,long,5077.543471832001,5180.355357940065,5026.768037113681,5179.094341268641,0.002225729653215091,22.883146361369036,0.5,0.5,22.383146361369036,22.383146361369036,manual_close_buy,manual_close_buy,1,1152.0070534358879
88,89,2026-03-10 00:00:00,2026-03-11 00:00:00,long,5139.405920716075,5189.720395009806,5088.011861508915,5242.194039130397,0.002241517932631751,11.278079640033754,0.5,0.5,10.778079640033754,10.778079640033754,manual_close_buy,manual_close_buy,1,1162.2851330759217
90,90,2026-03-12 00:00:00,2026-03-12 00:00:00,long,5177.433081783457,5125.658750965623,5125.658750965623,5280.981743419126,0.0022449061430950498,-11.622851330759135,0.5,0.5,-12.122851330759135,-12.122851330759135,SL,SL,0,1149.6622817451625
