step,price,action,action_name,action_mask,reward,balance,equity,position,entry_price,sl,tp,log_prob,value_estimate,info_balance,info_equity,info_position,info_entry_price,info_sl,info_tp,info_trade_executed,info_invalid_action,info_force_close,info_close_reason,info_reward
79,5187.26,1,OPEN_BUY,1110,20.672295001460213,1104.8990450744677,1104.8990450744677,0,0.0,0.0,0.0,-0.31398582458496094,-1.1378169059753418,1104.899045,1104.899045,0,0.0,0.0,0.0,True,False,True,TP,20.672295
80,5277.9,1,OPEN_BUY,1110,-13.096585811552538,1092.850054623723,1092.850054623723,0,0.0,0.0,0.0,-0.305739164352417,-1.1481775045394897,1092.850055,1092.850055,0,0.0,0.0,0.0,True,False,True,SL,-13.09658581
81,5327.42,1,OPEN_BUY,1110,20.84500109247432,1113.7070557161974,1113.7070557161974,0,0.0,0.0,0.0,-0.30822205543518066,-1.1443390846252441,1113.707056,1113.707056,0,0.0,0.0,0.0,True,False,True,TP,20.84500109
82,5087.47,1,OPEN_BUY,1110,21.262141114324038,1134.9811968305214,1134.9811968305214,0,0.0,0.0,0.0,-0.3118600845336914,-1.1466773748397827,1134.981197,1134.981197,0,0.0,0.0,0.0,True,False,True,TP,21.26214111
83,5135.92,1,OPEN_BUY,1110,-13.423262554851114,1122.631384862216,1122.631384862216,0,0.0,0.0,0.0,-0.3133978843688965,-1.1548246145248413,1122.631385,1122.631385,0,0.0,0.0,0.0,True,False,True,SL,-13.42326255
84,5077.39,1,OPEN_BUY,1110,-0.594670287265704,1122.131384862216,1122.0948307191725,1,4676.4722712073135,4629.70754849524,4770.00171663146,-0.3126375675201416,-1.1635862588882446,1122.131385,1122.094831,1,4676.472271,4629.707548,4770.001717,True,False,False,,-0.59467029
85,5171.12,3,CLOSE_POSITION,1001,-6.454699627735917,1116.1620463414608,1116.1620463414608,0,0.0,0.0,0.0,-0.2780369222164154,-1.1636922359466553,1116.162046,1116.162046,0,0.0,0.0,0.0,True,False,False,manual_close_buy,-6.45469963
86,5139.56,1,OPEN_BUY,1110,-13.218896230152472,1104.0004258780461,1104.0004258780461,0,0.0,0.0,0.0,-0.31944704055786133,-1.1713420152664185,1104.000426,1104.000426,0,0.0,0.0,0.0,True,False,True,SL,-13.21889623
87,5192.94,1,OPEN_BUY,1110,21.068008517560827,1125.080434395607,1125.080434395607,0,0.0,0.0,0.0,-0.32346153259277344,-1.1703861951828003,1125.080434,1125.080434,0,0.0,0.0,0.0,True,False,True,TP,21.06800852
88,5177.07,1,OPEN_BUY,1110,7.896321052770362,1124.580434395607,1132.9887554483773,1,4730.546127177903,4683.240665906124,4825.157049721462,-0.3237595558166504,-1.17123544216156,1124.580434,1132.988755,1,4730.546127,4683.240666,4825.15705,True,False,False,,7.89632105
89,5080.07,3,CLOSE_POSITION,1001,-0.6143505244057983,1132.4340786843518,1132.4340786843518,0,0.0,0.0,0.0,-0.28392282128334045,-1.1630282402038574,1132.434079,1132.434079,0,0.0,0.0,0.0,True,False,False,manual_close_buy,-0.61435052
90,5019.25,1,OPEN_BUY,1110,12.68363734092594,1131.9340786843518,1145.1297160252777,1,4686.975231210272,4640.105478898169,4780.714735834477,-0.3277721405029297,-1.177695393562317,1131.934079,1145.129716,1,4686.975231,4640.105479,4780.714736,True,False,False,,12.68363734
91,5006.43,3,CLOSE_POSITION,1001,-0.1903636622993725,1144.9654691706385,1144.9654691706385,0,0.0,0.0,0.0,-0.2840236723423004,-1.1600098609924316,1144.965469,1144.965469,0,0.0,0.0,0.0,True,False,False,manual_close_buy,-0.19036366
92,5006.0,1,OPEN_BUY,1110,-13.531686632979508,1132.515814478932,1132.515814478932,0,0.0,0.0,0.0,-0.334125280380249,-1.161772608757019,1132.515814,1132.515814,0,0.0,0.0,0.0,True,False,True,SL,-13.53168663
93,4818.81,1,OPEN_BUY,1110,-1.4373692438189845,1132.015814478932,1131.203257806913,1,4791.9181021226095,4743.9989211013835,4887.7564641650615,-0.3358808755874634,-1.1602513790130615,1132.015814,1131.203258,1,4791.918102,4743.998921,4887.756464,True,False,False,,-1.43736924
94,4651.73,3,CLOSE_POSITION,1001,0.39084966595754667,1131.6061074728705,1131.6061074728705,0,0.0,0.0,0.0,-0.2883046269416809,-1.165997862815857,1131.606107,1131.606107,0,0.0,0.0,0.0,True,False,False,manual_close_buy,0.39084967
95,4491.15,1,OPEN_BUY,1110,-13.386610815020523,1119.2900463981418,1119.2900463981418,0,0.0,0.0,0.0,-0.34462642669677734,-1.1666315793991089,1119.290046,1119.290046,0,0.0,0.0,0.0,True,False,True,SL,-13.38661082
96,4407.62,1,OPEN_BUY,1110,-13.252864706870453,1107.0971459341604,1107.0971459341604,0,0.0,0.0,0.0,-0.3493119478225708,-1.1516752243041992,1107.097146,1107.097146,0,0.0,0.0,0.0,True,False,True,SL,-13.25286471
97,4474.44,1,OPEN_BUY,1110,3.4319428825337477,1106.5971459341604,1110.5410888166941,1,4721.858764991932,4674.640177342012,4816.29594029177,-0.33566808700561523,-1.1622158288955688,1106.597146,1110.541089,1,4721.858765,4674.640177,4816.29594,True,False,False,,3.43194288
98,4506.55,3,CLOSE_POSITION,1001,-0.5621543231086678,1110.0344771225189,1110.0344771225189,0,0.0,0.0,0.0,-0.28591805696487427,-1.1578086614608765,1110.034477,1110.034477,0,0.0,0.0,0.0,True,False,False,manual_close_buy,-0.56215432
99,4380.03,1,OPEN_BUY,1110,3.0620777790545057,1109.5344771225189,1113.1085549015734,1,4694.036189766455,4647.09582786879,4787.916913561784,-0.33873701095581055,-1.1596318483352661,1109.534477,1113.108555,1,4694.03619,4647.095828,4787.916914,True,False,False,,3.06207778
100,4492.99,3,CLOSE_POSITION,1001,-3.148459894733034,1110.220333916587,1110.220333916587,0,0.0,0.0,0.0,-0.2866465449333191,-1.1621118783950806,1110.220334,1110.220334,0,0.0,0.0,0.0,True,False,False,manual_close_buy,-3.14845989
101,4511.25,1,OPEN_BUY,1110,-4.960187211409094,1109.720333916587,1105.6637769634333,1,4699.169970713381,4652.178271006247,4793.1533701276485,-0.3476099967956543,-1.157975673675537,1109.720334,1105.663777,1,4699.169971,4652.178271,4793.15337,True,False,False,,-4.96018721
102,4672.01,3,CLOSE_POSITION,1001,-0.5558500194496573,1105.1629706111833,1105.1629706111833,0,0.0,0.0,0.0,-0.28103482723236084,-1.1622968912124634,1105.162971,1105.162971,0,0.0,0.0,0.0,True,False,False,manual_close_buy,-0.55585002
103,4758.76,1,OPEN_BUY,1110,-13.099451907552284,1093.1113409050713,1093.1113409050713,0,0.0,0.0,0.0,-0.3590942621231079,-1.143466591835022,1093.111341,1093.111341,0,0.0,0.0,0.0,True,False,True,SL,-13.09945191
104,4676.42,1,OPEN_BUY,1110,20.85022681810159,1113.973567723173,1113.973567723173,0,0.0,0.0,0.0,-0.3499302864074707,-1.1452196836471558,1113.973568,1113.973568,0,0.0,0.0,0.0,True,False,True,TP,20.85022682
