step,action,reward,balance,position
61,1,-0.04751272928185989,1146.185431989155,1
62,1,0.040499636267687114,1146.185431989155,1
63,1,-0.006957447664084891,1146.185431989155,1
64,1,22.43170863978301,1168.6191406289379,0
65,1,-0.012,1168.1191406289379,1
66,1,-0.11781937271347764,1168.1191406289379,1
67,1,-0.056050535105484356,1168.1191406289379,1
68,1,0.03146352993974156,1168.1191406289379,1
69,1,22.87038281257876,1190.9915234415166,0
70,1,-0.012,1190.4915234415166,1
71,1,0.08272687061465363,1190.4915234415166,1
72,1,0.06735598938581973,1190.4915234415166,1
73,1,0.015866392407357904,1190.4915234415166,1
74,1,0.21295371845134542,1190.4915234415166,1
75,1,23.317830468830444,1213.811353910347,0
76,1,-0.012,1213.311353910347,1
77,2,23.774227078207037,1237.087580988554,0
78,1,-0.012,1236.587580988554,1
79,2,7.477060922423195,1244.0766419109773,0
80,1,-0.012,1243.5766419109773,1
81,2,24.379532838219536,1267.9581747491968,0
82,1,-0.012,1267.4581747491968,1
83,1,-13.18158174749203,1254.2785930017048,0
84,1,-0.012,1253.7785930017048,1
85,1,24.583571860034205,1278.364164861739,0
86,1,-0.012,1277.864164861739,1
87,1,-13.285641648617432,1264.5805232131215,0
88,1,-0.012,1264.0805232131215,1
89,1,24.789610464262566,1288.872133677384,0
90,1,-0.012,1288.372133677384,1
91,1,0.14001847724541164,1288.372133677384,1
92,1,-13.39072133677381,1274.9834123406101,0
93,1,-0.012,1274.4834123406101,1
94,1,-13.251834123406129,1261.233578217204,0
95,1,-0.012,1260.733578217204,1
96,1,24.722671564344044,1285.4582497815481,0
97,1,-0.012,1284.9582497815481,1
98,1,25.207164995630922,1310.1674147771791,0
99,1,-0.012,1309.6674147771791,1
100,1,-13.603674147771724,1296.0657406294074,0
101,1,-0.012,1295.5657406294074,1
102,1,0.03789856428169653,1295.5657406294074,1
103,1,25.419314812588066,1320.9870554419954,0
104,1,-0.012,1320.4870554419954,1
105,1,-13.711870554419965,1306.7771848875755,0
106,1,-0.012,1306.2771848875755,1
107,1,-13.56977184887578,1292.7094130386997,0
108,1,-0.012,1292.2094130386997,1
109,1,-0.08143692542930561,1292.2094130386997,1
110,1,0.051923314362546096,1292.2094130386997,1
111,1,0.012340677101843847,1292.2094130386997,1
112,1,-13.429094130386904,1278.7823189083128,0
113,1,-0.012,1278.2823189083128,1
114,1,-0.03516267013046895,1278.2823189083128,1
115,1,-0.03636562127345192,1278.2823189083128,1
116,1,-13.289823189083181,1264.9944957192297,0
117,1,-0.012,1264.4944957192297,1
118,1,-13.15194495719226,1251.3445507620374,0
119,1,-0.012,1250.8445507620374,1
120,1,0.18712520374033498,1250.8445507620374,1
121,1,24.52489101524068,1275.371441777278,0
122,1,-0.012,1274.871441777278,1
123,1,25.005428835545494,1299.8788706128234,0
124,1,-0.012,1299.3788706128234,1
125,1,25.49557741225644,1324.87644802508,0
126,1,-0.012,1324.37644802508,1
127,1,-13.750764480250744,1310.6276835448293,0
128,1,-0.012,1310.1276835448293,1
129,1,-0.0741136305796341,1310.1276835448293,1
130,1,0.08036712054264653,1310.1276835448293,1
131,1,0.11778689908298096,1310.1276835448293,1
132,1,0.2486216732681773,1310.1276835448293,1
133,1,0.19858352276911517,1310.1276835448293,1
134,1,0.18045188924922068,1310.1276835448293,1
135,1,25.71055367089649,1335.840237215726,0
136,1,-0.012,1335.340237215726,1
137,1,-0.009765070234512493,1335.340237215726,1
138,1,0.10682284155611789,1335.340237215726,1
139,1,0.0801291712262612,1335.340237215726,1
140,1,-13.860402372157328,1321.4818348435685,0
141,1,-0.012,1320.9818348435685,1
