run_id,seed,initial_balance,final_balance,total_return_pct,max_drawdown_pct,sharpe,total_reward,steps,total_trades,win_rate_pct,profit_factor,gross_profit,gross_loss,avg_win,avg_loss,best_trade,worst_trade,tp_hits,sl_hits,manual_closes,action_hold,action_buy_or_close_sell,action_sell_or_close_buy
11,1010,1000.0,1302.9318503327145,30.293185033271445,-5.320100749800199,3.6027065301611705,323.69238114619606,149,36,61.111111111111114,2.8004864746947544,499.1791489618935,178.2472986291793,22.689961316449704,-12.731949902084237,25.067291182994435,-13.422874334845732,22,14,0,24,125,0
12,1011,1000.0,1302.931850332715,30.29318503327149,-5.320100749800199,3.602706530161174,323.69056773419686,149,36,61.111111111111114,2.8004864746947566,499.1791489618934,178.24729862917914,22.6899613164497,-12.731949902084224,25.067291182994484,-13.42287433484565,22,14,0,24,125,0
13,1012,1000.0,1302.9318503327133,30.293185033271335,-5.32010074980022,3.6027065301611603,323.69379346053665,149,36,61.111111111111114,2.8004864746947455,499.17914896189296,178.24729862917968,22.68996131644968,-12.731949902084263,25.067291182994364,-13.422874334845542,22,14,0,24,125,0
14,1013,1000.0,1302.9318503327127,30.293185033271264,-5.320100749800187,3.602706530161156,323.6922556716444,149,36,61.111111111111114,2.8004864746947513,499.17914896189245,178.24729862917914,22.689961316449658,-12.731949902084224,25.067291182994353,-13.422874334845728,22,14,0,24,125,0
15,1014,1000.0,1302.9318503327145,30.293185033271445,-5.320100749800215,3.6027065301611705,323.6899795515431,149,36,61.111111111111114,2.8004864746947558,499.17914896189376,178.2472986291793,22.689961316449715,-12.731949902084237,25.067291182994545,-13.42287433484567,22,14,0,24,125,0
16,1015,1000.0,1302.931850332713,30.293185033271314,-5.32010074980022,3.602706530161158,323.69124870993414,149,36,61.111111111111114,2.8004864746947455,499.1791489618931,178.24729862917974,22.689961316449686,-12.731949902084267,25.06729118299445,-13.422874334845758,22,14,0,24,125,0
17,1016,1000.0,1302.931850332714,30.293185033271403,-5.3201007498002015,3.6027065301611656,323.6919867818388,149,36,61.111111111111114,2.8004864746947553,499.1791489618935,178.24729862917926,22.689961316449704,-12.731949902084233,25.067291182994527,-13.422874334845586,22,14,0,24,125,0
18,1017,1000.0,1302.9318503327142,30.293185033271424,-5.3201007498002015,3.6027065301611683,323.68907740582733,149,36,61.111111111111114,2.8004864746947553,499.1791489618932,178.24729862917914,22.68996131644969,-12.731949902084224,25.067291182994435,-13.422874334845634,22,14,0,24,125,0
19,1018,1000.0,1302.9318503327145,30.293185033271445,-5.320100749800214,3.602706530161167,323.6911685807976,149,36,61.111111111111114,2.800486474694753,499.1791489618937,178.24729862917945,22.689961316449715,-12.731949902084247,25.06729118299441,-13.422874334845726,22,14,0,24,125,0
20,1019,1000.0,1302.9318503327136,30.293185033271357,-5.320100749800217,3.602706530161163,323.69126129596043,149,36,61.111111111111114,2.800486474694748,499.17914896189313,178.24729862917957,22.689961316449686,-12.731949902084255,25.067291182994335,-13.422874334845734,22,14,0,24,125,0
21,1020,1000.0,1302.9318503327136,30.293185033271357,-5.320100749800201,3.602706530161163,323.6914939153216,149,36,61.111111111111114,2.8004864746947473,499.1791489618933,178.24729862917968,22.689961316449697,-12.731949902084263,25.067291182994285,-13.422874334845575,22,14,0,24,125,0
22,1021,1000.0,1302.931850332714,30.293185033271403,-5.320100749800216,3.6027065301611665,323.69039544177986,149,36,61.111111111111114,2.800486474694758,499.17914896189365,178.24729862917914,22.68996131644971,-12.731949902084224,25.06729118299435,-13.42287433484557,22,14,0,24,125,0
23,1022,1000.0,1302.9318503327136,30.293185033271357,-5.320100749800203,3.6027065301611647,323.6900917810363,149,36,61.111111111111114,2.8004864746947535,499.17914896189285,178.24729862917914,22.689961316449676,-12.731949902084224,25.067291182994424,-13.422874334845595,22,14,0,24,125,0
24,1023,1000.0,1302.931850332713,30.293185033271314,-5.320100749800203,3.602706530161161,323.692730745778,149,36,61.111111111111114,2.8004864746947526,499.17914896189274,178.24729862917914,22.68996131644967,-12.731949902084224,25.06729118299435,-13.422874334845547,22,14,0,24,125,0
25,1024,1000.0,1302.931850332714,30.293185033271403,-5.320100749800217,3.6027065301611643,323.6926248685321,149,36,61.111111111111114,2.800486474694749,499.17914896189325,178.24729862917957,22.689961316449693,-12.731949902084255,25.06729118299438,-13.422874334845547,22,14,0,24,125,0
26,1025,1000.0,1302.9318503327145,30.293185033271445,-5.320100749800214,3.602706530161168,323.6911497914375,149,36,61.111111111111114,2.8004864746947526,499.17914896189353,178.24729862917943,22.689961316449708,-12.731949902084244,25.067291182994342,-13.422874334845693,22,14,0,24,125,0
27,1026,1000.0,1302.9318503327136,30.293185033271357,-5.320100749800235,3.60270653016116,323.69142291607585,149,36,61.111111111111114,2.8004864746947504,499.1791489618934,178.24729862917954,22.6899613164497,-12.731949902084253,25.06729118299435,-13.422874334845682,22,14,0,24,125,0
28,1027,1000.0,1302.9318503327152,30.293185033271513,-5.320100749800197,3.6027065301611736,323.69195059645205,149,36,61.111111111111114,2.8004864746947504,499.1791489618937,178.24729862917962,22.689961316449715,-12.731949902084258,25.06729118299442,-13.422874334845716,22,14,0,24,125,0
29,1028,1000.0,1302.931850332714,30.293185033271403,-5.320100749800218,3.602706530161162,323.69195393066616,149,36,61.111111111111114,2.800486474694755,499.17914896189376,178.24729862917937,22.689961316449715,-12.73194990208424,25.067291182994346,-13.422874334845615,22,14,0,24,125,0
30,1029,1000.0,1302.9318503327145,30.293185033271445,-5.320100749800215,3.6027065301611696,323.6941504486632,149,36,61.111111111111114,2.8004864746947504,499.1791489618934,178.24729862917954,22.6899613164497,-12.731949902084253,25.067291182994442,-13.422874334845575,22,14,0,24,125,0
31,1030,1000.0,1302.9318503327142,30.293185033271424,-5.3201007498002335,3.6027065301611665,323.6917425202256,149,36,61.111111111111114,2.8004864746947513,499.17914896189393,178.24729862917965,22.689961316449725,-12.731949902084262,25.06729118299444,-13.422874334845597,22,14,0,24,125,0
32,1031,1000.0,1302.9318503327136,30.293185033271357,-5.3201007498002015,3.602706530161162,323.69160663778985,149,36,61.111111111111114,2.800486474694751,499.17914896189325,178.24729862917945,22.689961316449693,-12.731949902084247,25.067291182994335,-13.422874334845684,22,14,0,24,125,0
33,1032,1000.0,1302.9318503327142,30.293185033271424,-5.320100749800217,3.6027065301611683,323.692295203045,149,36,61.111111111111114,2.8004864746947518,499.1791489618934,178.24729862917945,22.6899613164497,-12.731949902084247,25.06729118299434,-13.422874334845574,22,14,0,24,125,0
34,1033,1000.0,1302.9318503327133,30.293185033271335,-5.320100749800218,3.602706530161159,323.6913298957516,149,36,61.111111111111114,2.800486474694746,499.17914896189313,178.2472986291797,22.689961316449686,-12.731949902084265,25.067291182994335,-13.422874334845572,22,14,0,24,125,0
35,1034,1000.0,1302.9318503327133,30.293185033271335,-5.320100749800218,3.602706530161159,323.69195315622113,149,36,61.111111111111114,2.8004864746947495,499.179148961893,178.24729862917945,22.689961316449683,-12.731949902084247,25.067291182994346,-13.422874334845698,22,14,0,24,125,0
36,1035,1000.0,1302.9318503327133,30.293185033271335,-5.320100749800237,3.6027065301611607,323.6916346875854,149,36,61.111111111111114,2.8004864746947544,499.17914896189313,178.24729862917917,22.689961316449686,-12.731949902084226,25.0672911829945,-13.422874334845543,22,14,0,24,125,0
37,1036,1000.0,1302.931850332715,30.29318503327149,-5.320100749800198,3.6027065301611754,323.6940777638517,149,36,61.111111111111114,2.8004864746947593,499.17914896189393,178.24729862917914,22.689961316449725,-12.731949902084224,25.067291182994545,-13.42287433484555,22,14,0,24,125,0
38,1037,1000.0,1302.9318503327152,30.293185033271513,-5.320100749800213,3.602706530161173,323.6930134305751,149,36,61.111111111111114,2.8004864746947553,499.1791489618941,178.24729862917945,22.689961316449732,-12.731949902084247,25.067291182994406,-13.422874334845687,22,14,0,24,125,0
39,1038,1000.0,1302.9318503327138,30.29318503327138,-5.320100749800201,3.6027065301611674,323.6921012449438,149,36,61.111111111111114,2.800486474694757,499.1791489618928,178.24729862917889,22.689961316449672,-12.731949902084207,25.067291182994428,-13.422874334845591,22,14,0,24,125,0
40,1039,1000.0,1302.9318503327138,30.29318503327138,-5.3201007498002175,3.602706530161164,323.6919669750625,149,36,61.111111111111114,2.800486474694748,499.17914896189336,178.24729862917965,22.689961316449697,-12.731949902084262,25.06729118299448,-13.422874334845641,22,14,0,24,125,0
41,1040,1000.0,1302.9318503327145,30.293185033271445,-5.320100749800215,3.6027065301611705,323.68910109043185,149,36,61.111111111111114,2.800486474694754,499.17914896189353,178.24729862917934,22.689961316449708,-12.731949902084239,25.067291182994413,-13.422874334845567,22,14,0,24,125,0
42,1041,1000.0,1302.9318503327147,30.29318503327147,-5.320100749800197,3.60270653016117,323.6925924384256,149,36,61.111111111111114,2.8004864746947624,499.1791489618937,178.24729862917889,22.689961316449715,-12.731949902084207,25.067291182994442,-13.42287433484564,22,14,0,24,125,0
43,1042,1000.0,1302.9318503327142,30.293185033271424,-5.3201007498002335,3.6027065301611683,323.689968837705,149,36,61.111111111111114,2.8004864746947584,499.17914896189336,178.247298629179,22.689961316449697,-12.731949902084214,25.067291182994367,-13.422874334845618,22,14,0,24,125,0
44,1043,1000.0,1302.9318503327142,30.293185033271424,-5.320100749800217,3.6027065301611683,323.6927267013683,149,36,61.111111111111114,2.800486474694752,499.17914896189336,178.2472986291794,22.689961316449697,-12.731949902084242,25.067291182994513,-13.422874334845687,22,14,0,24,125,0
45,1044,1000.0,1302.9318503327136,30.293185033271357,-5.320100749800235,3.602706530161162,323.69284105381695,149,36,61.111111111111114,2.800486474694751,499.1791489618934,178.2472986291795,22.6899613164497,-12.731949902084251,25.067291182994527,-13.422874334845629,22,14,0,24,125,0
46,1045,1000.0,1302.9318503327136,30.293185033271357,-5.320100749800218,3.6027065301611585,323.69175282767867,149,36,61.111111111111114,2.8004864746947473,499.17914896189325,178.24729862917968,22.689961316449693,-12.731949902084263,25.067291182994477,-13.422874334845782,22,14,0,24,125,0
47,1046,1000.0,1302.931850332714,30.293185033271403,-5.3201007498002335,3.6027065301611656,323.69074382839017,149,36,61.111111111111114,2.8004864746947535,499.1791489618936,178.2472986291794,22.689961316449708,-12.731949902084242,25.067291182994346,-13.422874334845615,22,14,0,24,125,0
48,1047,1000.0,1302.931850332715,30.29318503327149,-5.320100749800214,3.602706530161171,323.6929468633784,149,36,61.111111111111114,2.8004864746947518,499.179148961894,178.24729862917965,22.689961316449725,-12.731949902084262,25.067291182994534,-13.42287433484566,22,14,0,24,125,0
49,1048,1000.0,1302.931850332713,30.293185033271314,-5.32010074980022,3.602706530161161,323.6917240393075,149,36,61.111111111111114,2.8004864746947584,499.1791489618932,178.24729862917894,22.68996131644969,-12.73194990208421,25.067291182994417,-13.422874334845668,22,14,0,24,125,0
50,1049,1000.0,1302.931850332714,30.293185033271403,-5.320100749800182,3.6027065301611683,323.6890497851613,149,36,61.111111111111114,2.800486474694753,499.1791489618933,178.2472986291793,22.689961316449697,-12.731949902084237,25.067291182994307,-13.422874334845597,22,14,0,24,125,0
